"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"14166","ENSMUSG00000073643",-1.72588986678729,5.79548728907757,-11.4768528827366,8.33945218124445e-09,1.79476976112933e-06,10.6451155166291,"Wdfy1"
"155","ENSMUSG00000001127",1.58796722021722,7.60715066496184,11.214632864018,1.1385036966158e-08,1.83629571032639e-06,10.2927250133975,"Araf"
"1372","ENSMUSG00000015671",1.40924467260499,7.00644302036887,11.3071878587193,1.01935760601673e-08,1.83629571032639e-06,10.4047087218912,"Psma2"
"1379","ENSMUSG00000015733",1.88236051309051,7.57988591911004,11.2786935057556,1.054563509381e-08,1.83629571032639e-06,10.3707440529437,"Capza2"
"1873","ENSMUSG00000019923",1.06270375099558,8.89192622858671,11.1852844339396,1.17929838212552e-08,1.83629571032639e-06,10.2608294810054,"Zwint"
"2143","ENSMUSG00000020460",2.54219072376915,8.93171514864429,11.202178052702,1.15563035786406e-08,1.83629571032639e-06,10.2865810312237,"Rps27a"
"2229","ENSMUSG00000020638",1.32155700897498,4.2906501571966,11.2866636551869,1.04458810800832e-08,1.83629571032639e-06,10.4236470780714,"Cmpk2"
"2871","ENSMUSG00000021930",2.19076376012642,5.86004900563642,11.1502609303984,1.23001811353419e-08,1.83629571032639e-06,10.2267157266654,"Spryd7"
"3247","ENSMUSG00000022674",2.36006354876452,7.31992811095981,11.3125377050991,1.01288768258808e-08,1.83629571032639e-06,10.4126053232162,"Ube2v2"
"3251","ENSMUSG00000022679",1.55669092950886,5.35013901530417,11.4156443968733,8.96336777122309e-09,1.83629571032639e-06,10.5562580828962,"Mpv17l"
"3926","ENSMUSG00000024766",2.2693455388911,3.1994711776274,11.3259097484217,9.96905571713431e-09,1.83629571032639e-06,10.440900790522,"Lipo3"
"4188","ENSMUSG00000025287",1.68412071416325,4.92084663335824,11.1110023227224,1.28963070123642e-08,1.83629571032639e-06,10.2009724262079,"Acot9"
"4423","ENSMUSG00000025917",1.60604696120871,6.78841928382477,11.1014076842001,1.30466032255406e-08,1.83629571032639e-06,10.156222228135,"Cops5"
"4625","ENSMUSG00000026360",1.43671278493817,5.35653821092491,11.2440662623961,1.09908958552543e-08,1.83629571032639e-06,10.3524973526012,"Rgs2"
"5387","ENSMUSG00000028011",3.40841769948882,-0.594023615699636,11.1910956044702,1.17109947565534e-08,1.83629571032639e-06,9.12642417595819,"Tdo2"
"5420","ENSMUSG00000028063",-1.964266680249,4.3871035972453,-11.1395939279631,1.24592096171568e-08,1.83629571032639e-06,10.175486060334,"Lmna"
"5561","ENSMUSG00000028367",1.7090135191441,6.97756422520168,11.3431048793409,9.76745905219767e-09,1.83629571032639e-06,10.4486171721563,"Txn1"
"5740","ENSMUSG00000028691",1.77219643731157,7.56881975662884,11.103576598018,1.30124664586533e-08,1.83629571032639e-06,10.1578262041572,"Prdx1"
"6033","ENSMUSG00000029213",1.63597747276358,5.47241595781206,11.1754628512501,1.19329410169981e-08,1.83629571032639e-06,10.2665160049374,"Commd8"
"6084","ENSMUSG00000029345",-1.51738080240303,5.16624711457353,-11.1205753912394,1.27481756888417e-08,1.83629571032639e-06,10.2224930659923,"Tfip11"
"6721","ENSMUSG00000030824",-1.44301946786491,6.61932020399935,-11.2707908407641,1.06455417254588e-08,1.83629571032639e-06,10.3910501617245,"Nucb1"
"6752","ENSMUSG00000030884",1.44857656325627,7.82365296820323,11.3462378818695,9.73119520550618e-09,1.83629571032639e-06,10.4517860291521,"Uqcrc2"
"7340","ENSMUSG00000032193",-1.29421171027494,4.63642684909997,-11.1091205533146,1.29256389289221e-08,1.83629571032639e-06,10.1984463253445,"Ldlr"
"7730","ENSMUSG00000033152",-1.69080898039702,8.2867526482467,-11.3674922211526,9.4889173406699e-09,1.83629571032639e-06,10.4820269197686,"Podxl2"
"8481","ENSMUSG00000035835",-2.50766775628879,8.08099121294023,-11.4233678380651,8.88198379380505e-09,1.83629571032639e-06,10.5619979962317,"Plppr3"
"8825","ENSMUSG00000037058",1.69021968289583,7.19830279454334,11.173903087143,1.19553290559705e-08,1.83629571032639e-06,10.2436177889873,"Paip2"
"9231","ENSMUSG00000038301",1.93012765789891,6.21657743236741,11.3332880515675,9.88201717844923e-09,1.83629571032639e-06,10.4426476358616,"Snx10"
"9571","ENSMUSG00000039262",-1.37913433609504,9.26045096779623,-11.1367908950897,1.25013589348766e-08,1.83629571032639e-06,10.2017291814856,"Prrc2b"
"10910","ENSMUSG00000044857",-1.50567734804412,5.43197452294946,-11.2973059075875,1.03142394573485e-08,1.83629571032639e-06,10.4345958324339,"Lemd2"
"11453","ENSMUSG00000048004",1.86982345882405,3.95536235504494,11.119010674963,1.27722639452773e-08,1.83629571032639e-06,10.2253639092485,"Tmem196"
"11698","ENSMUSG00000049556",-2.15481589741938,7.4279754311901,-11.1045539406161,1.29971148998839e-08,1.83629571032639e-06,10.1855152149266,"Lingo1"
"12150","ENSMUSG00000052681",1.8954891432971,7.24281436310595,11.2898344218566,1.04064743869403e-08,1.83629571032639e-06,10.3843293502269,"Rap1b"
"12428","ENSMUSG00000054793",-1.93050777617815,8.07280885599624,-11.4314643336239,8.79750909931518e-09,1.83629571032639e-06,10.5630035159638,"Cadm4"
"12921","ENSMUSG00000058927",2.24965698921428,5.65803424044641,11.4010076294753,9.11977534122271e-09,1.83629571032639e-06,10.5306910573017,"Gm10053"
"13599","ENSMUSG00000066362",4.368817331373,4.70704246078783,11.1249954448589,1.26803901856913e-08,1.83629571032639e-06,10.2215094754035,"Rps13-ps1"
"14271","ENSMUSG00000074519",2.34084814815334,2.80479520617429,11.3110066321834,1.01473485340608e-08,1.83629571032639e-06,10.4118438524437,"Zfp971"
"14429","ENSMUSG00000076138",11.005495664457,-3.11935281108464,11.3044630854678,1.02266967524431e-08,1.83629571032639e-06,7.93857837058755,"Gm26377"
"14605","ENSMUSG00000079197",1.71625000074615,5.21689156036611,11.2001332712619,1.15846813591792e-08,1.83629571032639e-06,10.300502996108,"Psme2"
